id,first_name,last_name,weight
1,Tanny,Bransgrove,10
2,Delila,Spriggs,5
3,Sigmund,Saw,5
4,Wilt,Maycey,5
5,Carilyn,Semper,5
6,Rowland,Heaysman,2
7,Nev,Driver,2
8,Calypso,Nursey,2
9,Willow,Tollemache,2
10,Nert,Hartell,2
11,Paule,Hallard,2
12,Mario,Carpenter,2
13,Lindi,Cuddihy,2
14,Aidan,Onele,2
15,Gareth,Kirsz,2
16,Lucia,Foxworthy,2
17,Fayre,Calvard,2
18,Chrissy,Seven,2
19,Ricky,Loynton,2
20,Wilmar,Joderli,2
21,Clare,Kremer,1
22,Aloysia,Eles,1
23,Dianemarie,Bussen,1
24,Milka,Millsom,1
25,Julee,Ellinor,1
26,Ilka,Raine,1
27,Andras,Dudmesh,1
28,Skip,Kibbe,1
29,Valina,Capel,1
30,Veradis,Caseley,1
